0.15770,0.09300
0.35940,0.24360
0.53470,0.41160
0.62630,0.52720
0.67510,0.60150
0.70460,0.63810
0.73840,0.67250
0.75830,0.69420
0.77920,0.71500
0.79540,0.73360
0.81210,0.75380
0.81730,0.77260
0.82620,0.78040
0.83030,0.79240
0.84130,0.80700
0.84590,0.81100
0.85680,0.82480
0.85410,0.83600
0.86380,0.84170
0.86660,0.84750
0.86870,0.85110
0.87410,0.85540
0.87550,0.86200
0.88090,0.86680
0.88280,0.87080
0.88300,0.87220
0.88780,0.87550
0.88830,0.87570
0.89020,0.88190
0.89450,0.88140
0.89410,0.88400
0.89400,0.88790
0.89980,0.88810
0.89970,0.89140
0.89610,0.89030
0.89610,0.89260
0.90210,0.89210
0.90400,0.89460
0.90670,0.89790
0.90720,0.89720
0.91050,0.89820
