0.07590,0.07513,0.06115nan,0.07538,0.06033
0.05221,0.03776,0.03498nan,0.04806,0.05095
0.04069,0.02653,0.02233nan,0.04008,0.04228
0.03421,0.02053,0.01835nan,0.03579,0.03981
0.02936,0.01703,0.01481nan,0.03235,0.03594
0.02590,0.01460,0.01301nan,0.03090,0.03347
0.02375,0.01271,0.01150nan,0.02931,0.03398
0.02185,0.01207,0.01028nan,0.02804,0.03275
0.02008,0.01045,0.00920nan,0.02607,0.03276
0.01836,0.00980,0.00909nan,0.02739,0.03164
0.01802,0.00930,0.00849nan,0.02655,0.03258
0.01668,0.00855,0.00801nan,0.02770,0.03200
0.01590,0.00829,0.00733nan,0.02545,0.03036
0.01565,0.00761,0.00717nan,0.02498,0.03170
0.01532,0.00750,0.00660nan,0.02608,0.03407
0.01433,0.00737,0.00609nan,0.02666,0.03168
0.01403,0.00715,0.00614nan,0.02874,0.03281
0.01338,0.00698,0.00636nan,0.02707,0.03233
0.01331,0.00640,0.00570nan,0.02749,0.03394
0.01307,0.00646,0.00548nan,0.02985,0.03326
0.01302,0.00637,0.00529nan,0.03142,0.03477
0.01234,0.00613,0.00504nan,0.03067,0.03438
0.01254,0.00626,0.00503nan,0.03493,0.03166
0.01195,0.00619,0.00492nan,0.03803,0.03211
0.01176,0.00606,0.00474nan,0.03853,0.03114
0.01148,0.00580,0.00460nan,0.04068,0.03336
0.01105,0.00541,0.00467nan,0.03919,0.03219
0.01130,0.00563,0.00447nan,0.04092,0.03209
0.01092,0.00556,0.00431nan,0.04058,0.03213
0.01083,0.00535,0.00416nan,0.03994,0.03278
0.01047,0.00524,0.00448nan,0.04085,0.03165
0.01012,0.00525,0.00413nan,0.04053,0.03032
0.01030,0.00504,0.00395nan,0.03934,0.03209
0.01011,0.00499,0.00401nan,0.03871,0.03161
0.00981,0.00503,0.00390nan,0.03941,0.03356
0.00994,0.00500,0.00361nan,0.03929,0.03045
0.00943,0.00491,0.00366nan,0.03861,0.02919
0.00940,0.00476,0.00376nan,0.03792,0.03206
0.00946,0.00457,0.00361nan,0.03808,0.03195
0.00906,0.00460,0.00367nan,0.03815,0.03134
0.00883,0.00447,0.00387nan,0.03665,0.03250
