0.08640,0.18200,0.11660,.0.134600
0.72930,0.67300,0.54090,.0.624200
0.78190,0.76570,0.64140,.0.716900
0.81580,0.80580,0.70290,.0.766900
0.83700,0.83060,0.74380,.0.792700
0.85410,0.84890,0.76500,.0.815300
0.86630,0.85070,0.79500,.0.830100
0.88330,0.87440,0.81510,.0.850900
0.89190,0.88020,0.82820,.0.862000
0.89420,0.89160,0.84720,.0.871900
0.89710,0.90440,0.85990,.0.877000
0.91020,0.90110,0.87000,.0.885900
0.91650,0.90250,0.87830,.0.887600
0.91650,0.91050,0.87800,.0.891200
0.92260,0.91240,0.87990,.0.897900
0.91710,0.92030,0.88790,.0.899200
0.92890,0.92450,0.89910,.0.911400
0.93080,0.92720,0.90140,.0.913700
0.93750,0.91900,0.89670,.0.909000
0.93280,0.92900,0.90720,.0.915000
0.94000,0.93190,0.90750,.0.921800
0.93270,0.91700,0.91270,.0.911700
0.94570,0.93800,0.91050,.0.926900
0.94210,0.93660,0.91960,.0.927200
0.94330,0.93950,0.91820,.0.929100
0.93700,0.93910,0.91870,.0.925300
0.94660,0.93990,0.92500,.0.929900
0.95210,0.94320,0.92390,.0.936400
0.95160,0.93750,0.93020,.0.932100
0.95160,0.94520,0.92700,.0.936300
0.94990,0.94580,0.92980,.0.935600
0.95240,0.94490,0.93330,.0.936700
0.95250,0.94740,0.93110,.0.940100
0.95530,0.94870,0.93230,.0.941500
0.95810,0.94700,0.93180,.0.940900
0.96010,0.94670,0.93750,.0.945200
0.95440,0.94580,0.93790,.0.937400
0.95150,0.95040,0.93350,.0.937900
0.95630,0.95070,0.93820,.0.942000
0.96320,0.95260,0.94040,.0.949000
0.96380,0.95390,0.94130,.0.948100
0.96070,0.94970,0.94000,.0.945600
0.96340,0.94990,0.93640,.0.945800
0.96220,0.95120,0.93910,.0.946200
0.96210,0.94550,0.93410,.0.945100
0.96880,0.95190,0.94180,.0.952600
0.96250,0.95470,0.93920,.0.948100
0.96530,0.95210,0.93150,.0.948000
0.96580,0.95240,0.94180,.0.952100
0.96420,0.95610,0.94300,.0.952700
0.96780,0.95720,0.94600,.0.952400
0.95970,0.95560,0.94430,.0.945900
0.96610,0.95540,0.94300,.0.951200
0.96700,0.95430,0.94380,.0.949500
0.96790,0.94920,0.94800,.0.946100
0.95280,0.95720,0.94390,.0.948200
0.96940,0.95680,0.95020,.0.954100
0.96500,0.95890,0.94630,.0.950900
0.96790,0.95710,0.94930,.0.953300
0.96850,0.95690,0.94690,.0.953300
0.96330,0.95990,0.95140,.0.952000
0.96750,0.95520,0.94740,.0.953600
0.96520,0.96240,0.94640,.0.954000
0.97130,0.95930,0.95060,.0.956800
0.96530,0.96020,0.94950,.0.951900
0.96490,0.95650,0.94770,.0.953300
0.96450,0.95840,0.94790,.0.952400
0.96930,0.95860,0.94910,.0.956100
0.97030,0.95660,0.95110,.0.956100
0.96880,0.96120,0.95460,.0.956000
0.97000,0.95760,0.94920,.0.956700
0.97040,0.95800,0.95470,.0.956400
0.97170,0.95890,0.95290,.0.957400
0.97080,0.96020,0.94640,.0.957500
0.96490,0.95990,0.94780,.0.953500
0.96960,0.96010,0.94940,.0.959800
0.96990,0.95950,0.95360,.0.955700
0.97130,0.96210,0.94890,.0.957800
0.96940,0.96110,0.95410,.0.956600
0.97230,0.96160,0.95320,.0.960500
0.97360,0.95810,0.94170,.0.957100
0.97200,0.96080,0.95140,.0.957700
0.96910,0.96440,0.95570,.0.958400
0.97310,0.96410,0.95610,.0.961400
0.97020,0.96040,0.95470,.0.954800
0.97050,0.96550,0.95650,.0.959100
0.97190,0.95910,0.95320,.0.954800
0.97200,0.96350,0.94970,.0.961600
0.97390,0.96220,0.95770,.0.962600
0.97380,0.96530,0.95590,.0.961800
0.96940,0.96400,0.95520,.0.957200
0.97210,0.96460,0.95830,.0.962500
0.97270,0.96460,0.95620,.0.961100
0.97290,0.96730,0.95750,.0.962800
0.97090,0.96320,0.95070,.0.958700
0.97170,0.96440,0.95760,.0.960600
0.97280,0.96120,0.95380,.0.960000
0.97520,0.96590,0.95690,.0.963700
0.97050,0.96350,0.95720,.0.959900
0.97140,0.96670,0.95340,.0.959900
0.97520,0.95980,0.94210,.0.957900
