0.07220,0.07020
0.41090,0.33970
0.55380,0.52980
0.62880,0.60020
0.67570,0.64760
0.71110,0.68670
0.74230,0.71210
0.76700,0.73770
0.78360,0.75370
0.80270,0.77570
0.81770,0.78940
0.82490,0.79560
0.84000,0.80550
0.84100,0.81150
0.84890,0.82190
0.86020,0.83280
0.86700,0.83930
0.86620,0.84410
0.87540,0.84800
0.87520,0.85340
0.87960,0.85940
0.88270,0.86570
0.87830,0.87090
0.88640,0.87260
0.88840,0.86960
0.88620,0.87970
0.89510,0.88190
0.89250,0.88430
0.89870,0.88470
0.89820,0.88810
0.89930,0.88970
0.90360,0.88520
0.90860,0.89400
0.90240,0.89200
0.90200,0.89410
0.90640,0.89930
0.90890,0.89800
0.90740,0.89920
0.90600,0.89930
0.90830,0.90100
0.91370,0.90090
