0.09900,0.05643,0.22823,0.53780,0.12480
0.52820,0.72199,0.70723,0.64000,0.51640
0.63260,0.79613,0.82037,0.70280,0.61520
0.70740,0.82990,0.85420,0.73080,0.66300
0.74500,0.85997,0.87830,0.73580,0.68560
0.78620,0.87273,0.89114,0.74900,0.70520
0.80040,0.89786,0.90591,0.76860,0.72260
0.81880,0.90321,0.91096,0.77760,0.74140
0.83260,0.91186,0.91874,0.79200,0.75780
0.83820,0.92298,0.92691,0.79820,0.76520
0.85480,0.93122,0.92807,0.82580,0.79720
0.85720,0.93040,0.93002,0.82580,0.79560
0.85980,0.93040,0.93468,0.83500,0.80820
0.86560,0.93369,0.94090,0.84800,0.82320
0.87320,0.93904,0.94479,0.86480,0.84140
0.87780,0.94316,0.95257,0.86460,0.84500
0.87780,0.94687,0.94518,0.89080,0.86720
0.88320,0.94605,0.95218,0.89080,0.87100
0.88620,0.95058,0.95412,0.88960,0.87140
0.88980,0.95264,0.95412,0.89540,0.87520
0.89080,0.94893,0.95257,0.90600,0.88880
0.89200,0.95222,0.95645,0.89720,0.88660
0.89440,0.95428,0.95684,0.90880,0.89080
0.89800,0.95881,0.95645,0.90200,0.88720
0.89820,0.95881,0.95918,0.90520,0.89220
0.90440,0.96334,0.95607,0.89980,0.89220
0.90580,0.95593,0.95918,0.90420,0.89800
0.90580,0.95840,0.95723,0.90560,0.90060
0.90820,0.96211,0.96229,0.90460,0.90160
0.91060,0.96129,0.96190,0.90580,0.90340
0.91500,0.96293,0.96034,0.91220,0.90700
0.91360,0.96293,0.95840,0.90080,0.90440
0.91480,0.96829,0.96306,0.90000,0.90980
0.91760,0.96293,0.96423,0.90860,0.91340
0.91740,0.96252,0.96229,0.90880,0.90940
0.91780,0.96376,0.96501,0.90580,0.91000
0.91860,0.96417,0.96423,0.90720,0.91080
0.92220,0.96334,0.96540,0.91720,0.91860
0.92340,0.96870,0.96656,0.90920,0.91540
0.92280,0.96376,0.96501,0.90200,0.91140
0.92500,0.96623,0.96306,0.91440,0.91700
