0.07628,0.07497,0.03789nan,0.07260,0.04031
0.05008,0.03981,0.03302nan,0.05189,0.05365
0.03979,0.02759,0.02200nan,0.04277,0.04698
0.03081,0.02097,0.01653nan,0.03815,0.04248
0.02704,0.01801,0.01365nan,0.03409,0.04044
0.02330,0.01518,0.01276nan,0.03316,0.03905
0.02097,0.01316,0.01115nan,0.03076,0.04004
0.01916,0.01208,0.00975nan,0.03198,0.04164
0.01848,0.01108,0.00927nan,0.03183,0.04070
0.01750,0.01039,0.00875nan,0.03272,0.04102
0.01639,0.00994,0.00777nan,0.03237,0.03952
0.01557,0.00895,0.00747nan,0.03464,0.04056
0.01546,0.00935,0.00721nan,0.03861,0.03997
0.01501,0.00855,0.00681nan,0.03975,0.04252
0.01433,0.00800,0.00705nan,0.04272,0.04440
0.01364,0.00807,0.00653nan,0.04484,0.04174
0.01315,0.00766,0.00659nan,0.04504,0.04417
0.01315,0.00746,0.00641nan,0.04607,0.04475
0.01251,0.00733,0.00600nan,0.04764,0.04750
0.01257,0.00722,0.00613nan,0.04793,0.04566
0.01241,0.00710,0.00581nan,0.04952,0.04825
0.01201,0.00739,0.00537nan,0.05003,0.04500
0.01178,0.00706,0.00545nan,0.04959,0.04643
0.01161,0.00658,0.00541nan,0.04793,0.04797
0.01099,0.00645,0.00520nan,0.04918,0.04716
0.01060,0.00636,0.00538nan,0.04990,0.05003
0.01054,0.00656,0.00528nan,0.05121,0.04836
0.01022,0.00639,0.00487nan,0.05076,0.04696
0.01025,0.00621,0.00495nan,0.05202,0.04935
0.01009,0.00631,0.00475nan,0.05208,0.04855
0.00984,0.00598,0.00484nan,0.05169,0.04902
0.00995,0.00627,0.00500nan,0.05126,0.05036
0.00966,0.00585,0.00453nan,0.05270,0.04960
0.00935,0.00570,0.00432nan,0.05265,0.04862
0.00952,0.00568,0.00444nan,0.05263,0.04889
0.00909,0.00562,0.00445nan,0.05251,0.05015
0.00899,0.00559,0.00449nan,0.05183,0.05141
0.00897,0.00526,0.00447nan,0.05302,0.05067
0.00917,0.00532,0.00418nan,0.05098,0.04998
0.00871,0.00548,0.00416nan,0.05246,0.04924
0.00881,0.00562,0.00435nan,0.05273,0.05238
